sample,led440,led480,led540,led590,led625,source,medium,Gain
syleo,0.1,0.03,0.129,1,0.673,Default,unknown,
chlorella,1,0.705,0.191,0.513,0.292,Default,unknown,
phaeo,1,0.611,0.428,0.326,0.183,Default,unknown,
crypto,0.507,0.378,0.481,1,0.213,Default,unknown,
synechoccus,0.188,0.062,0.369,1,0.963,non-Default,unknown,
synnechoccus_leopoliensis,0.091,0.033,0.149,1,0.844,non-Default,unknown,
cyano-8me2,0.036,0.03,0.564,1,0.028,non-Default,hm,
pcc7376_old,0.011,0.012,1,0.975,0.012,non-Default,asnIII,
pcc7938_old,0.25,0.106,0.169,1,0.667,non-Default,bg11o,
pcc9806_old,0.25,0.158,0.211,1,0.631,non-Default,bg11o,
pcc7806_old,0.202,0.152,0.213,1,0.607,non-Default,bg11o,
pcc9807_old,0.203,0.15,0.218,1,0.605,non-Default,bg11o,
planktothrix,0.133,0.165,0.82,1,0.423,non-Default,asnIII,
niva_cyan_34,0.072,0.035,0.172,1,0.602,non-Default,lake_water,13
pcc9806,0.127,0.068,0.171,1,0.623,non-Default,lake_water,13
niva_cya_540,0.614,0.514,0.566,1,0.579,non-Default,lake_water,19
pcc7938,0.13,0.054,0.163,1,0.636,non-Default,lake_water,12
pcc7938,0.178,0.106,0.197,1,0.64,non-Default,lake_water,14
pcc7938,0.131,0.059,0.17,1,0.641,non-Default,lake_water,13
pcc7938,0.356,0.125,0.191,1,0.666,non-Default,bg11o,14
pcc7938,0.367,0.167,0.218,1,0.663,non-Default,bg11o,15
pcc9806,0.079,0.036,0.164,1,0.613,non-Default,bg11o,12
niva_cya_540,0.294,0.246,0.928,1,0.432,non-Default,z8,14
niva_cya_34,0.063,0.034,0.184,1,0.589,non-Default,z8,11
niva_cya_34,0.084,0.058,0.199,1,0.598,non-Default,z8,14
pcc9806,0.091,0.044,0.171,1,0.612,non-Default,bg11o,13
pcc9807,0.1,0.069,0.189,1,0.592,non-Default,bg11o,14
pcc7376,0.194,0.198,1,0.849,0.213,non-Default,asnIII,11
pcc7376,0.163,0.21,1,0.847,0.22,non-Default,asnIII,14
c1,0.076,0.026,0.157,1,0.635,mixed,,
c2,0.086,0.037,0.216,1,0.612,mixed,,
c3,0.085,0.043,0.244,1,0.590,mixed,,
c4,0.088,0.055,0.326,1,0.579,mixed,,
c5,0.090,0.064,0.373,1,0.556,mixed,,
c6,0.101,0.086,0.490,1,0.499,mixed,,
c7,0.074,0.026,0.163,1,0.573,mixed,,
c8,0.075,0.026,0.157,1,0.579,mixed,,
c9,0.072,0.025,0.161,1,0.571,mixed,,
