order,cluster
13,1
24,1
8,1
21,1
170,1
171,1
35,1
36,1
45,1
26,1
46,1
56,1
200,1
179,1
180,1
190,1
189,1
199,1
209,1
227,1
228,1
208,1
218,1
219,1
4,1
207,1
7,1
17,1
307,1
40,1
42,1
178,1
310,1
213,1
287,1
55,1
301,1
302,1
147,1
292,1
246,1
127,1
282,1
256,1
76,1
114,1
253,1
263,1
206,1
293,1
97,1
98,1
78,1
296,1
63,1
145,1
261,1
235,1
276,1
75,1
262,1
117,1
265,1
245,1
224,1
234,1
73,1
205,1
222,1
251,1
146,1
285,1
242,1
250,1
23,1
107,1
252,1
72,1
82,1
156,1
275,1
241,1
102,1
112,1
266,1
295,1
312,1
216,1
237,1
225,1
313,1
303,1
113,1
122,1
32,1
132,1
315,1
103,1
232,1
83,1
286,1
115,1
158,1
316,1
238,1
248,1
259,1
249,1
149,1
167,1
101,1
168,1
111,1
121,1
140,1
90,1
80,1
120,1
70,1
131,1
157,1
50,1
148,1
166,1
306,1
110,1
15,1
16,1
100,1
130,1
139,1
14,1
19,1
20,1
22,1
10,1
18,1
11,1
12,1
5,1
6,1
134,1
159,1
299,1
309,1
91,1
71,1
81,1
1,1
298,1
308,1
77,1
60,1
61,1
305,1
258,1
297,1
9,1
150,1
52,1
279,1
93,1
288,1
278,1
289,1
268,1
141,1
269,1
144,1
161,1
152,1
153,1
135,1
143,1
162,1
92,1
165,1
125,1
108,1
126,1
311,2
154,2
201,2
65,2
118,2
66,2
163,2
116,2
136,2
138,2
215,2
260,2
196,2
271,2
128,2
137,2
85,2
86,2
239,2
212,2
255,2
62,2
272,2
290,2
291,2
164,2
300,2
129,2
88,2
280,2
106,2
105,2
270,2
133,2
104,2
281,2
211,2
151,2
231,2
68,2
123,2
124,2
240,2
53,2
57,2
155,2
186,2
197,2
185,2
28,2
172,2
217,2
25,2
175,2
3,2
244,2
48,2
233,2
195,2
226,2
191,2
223,2
31,2
33,2
27,2
79,2
41,2
188,2
29,2
177,2
34,2
214,2
174,2
230,2
221,2
229,2
43,2
274,2
194,2
264,2
304,2
49,2
37,2
38,2
99,2
176,2
193,2
51,2
109,2
69,2
173,2
202,2
181,2
184,2
58,2
64,2
59,2
198,2
67,2
192,2
74,2
47,2
160,2
204,2
284,2
87,2
182,2
277,2
257,2
267,2
314,2
44,2
294,2
94,2
142,2
39,2
54,2
95,2
96,2
254,2
203,2
243,2
2,2
236,2
169,2
84,2
187,2
220,2
183,2
89,2
210,2
30,2
247,2
119,2
273,2
283,2
